0,Q152962,Codex Sinaiticus,en
1,Q2529,April 24,en
2,Q6057,Stendal District,en
3,Q24851177,list of teams and cyclists in the 2016 Tour de France,en
4,Q77634,Samuel Kleinschmidt,en
5,Q486991,Aschersleben,en
6,Q938622,Pontifical Academy of Sciences,en
7,Q434752,list of teams and cyclists in the 2005 Tour de France,en
8,Q457460,SV Ried,en
9,Q2475,1971,en
10,Q463978,Gabriele Münter,en
11,Q953,Zambia,en
12,Q146083,Ancient Egyptian deity,en
13,Q44613,monastery,en
14,Q92262,Judy Winter,en
15,Q1774427,politics of global warming,en
16,Q311,Père Lachaise Cemetery,en
17,Q211972,ferrocene,en
18,Q45315,Berbers,en
19,Q7077,Dachau,en
20,Q13553713,2015 in film,en
21,Q9616,Chelsea F.C.,en
22,Q22,Scotland,en
23,Q172077,Dome of the Rock,en
24,Q166788,biathlon,en
25,Q160184,flatulence,en
26,Q36585,1910s,en
27,Q5663,Gusev,en
28,Q843,Pakistan,en
29,Q8818,Valencia,en
30,Q25258,Faroese,en
31,Q155980,Sirach,en
32,Q17514,graffiti,en
33,Q15031,Xi Jinping,en
34,Q7943,Upper Lusatia,en
35,Q490328,Hurricane Festival,en
36,Q104712,Elbląg,en
37,Q208048,Band of Brothers,en
38,Q7919,Odenwaldkreis,en
39,Q76539,Hans Fallada,en
40,Q8032,Indianapolis 500,en
41,Q46831,mountain range,en
42,Q108316,Alexander VI,en
43,Q6098,Saalekreis,en
44,Q2579,May 20,en
45,Q7430,DNA,en
46,Q46834,balance sheet,en
47,Q1344963,world championship,en
48,Q16999180,2019 European Parliament election,en
49,Q85477,oratorio,en
50,Q10419,Tirschenreuth,en
51,Q162527,mercantilism,en
52,Q189959,football at the 2012 Summer Olympics,en
53,Q102066,navigation,en
54,Q51617,liturgical year,en
55,Q3046,Pforzheim,en
56,Q16290,Star Trek: The Next Generation,en
57,Q519572,Murbach Abbey,en
58,Q130900,Lombards,en
59,Q200535,wealth,en
60,Q1033,Nigeria,en
61,Q356405,bloodletting,en
62,Q1410,Gibraltar,en
63,Q40025,University of Erlangen-Nuremberg,en
64,Q19085,death of Osama bin Laden,en
65,Q2805,Krefeld,en
66,Q230533,decolonization,en
67,Q829639,1953 in film,en
68,Q66086,Lord's Supper,en
69,Q959,Vladivostok,en
70,Q301591,1988 in sports,en
71,Q66013,Głogów,en
72,Q2186896,estate,en
73,Q787098,BAFTA Award for Best Original Music,en
74,Q2306,Pink Floyd,en
75,Q155718,DAX,en
76,Q151831,Eupen,en
77,Q39473,Transylvania,en
78,Q487070,Dessau,en
79,Q107429,peroxide,en
80,Q40734,Le Monde's 100 Books of the Century,en
81,Q11982,photosynthesis,en
82,Q15215081,Eurovision Song Contest 2015,en
83,Q2880,Hamm,en
84,Q22669,UEFA Euro 2012,en
85,Q3004,Ingolstadt,en
86,Q76326,Dietrich Bonhoeffer,en
87,Q1276,Leonard Cohen,en
88,Q55436055,2019 Cannes Film Festival,en
89,Q5803752,list of municipalities of Norway,en
90,Q701531,arrondissement of Lisieux,en
91,Q225184,athletics at the 1924 Summer Olympics,en
92,Q128781,Wehrmacht,en
93,Q589251,County of Montbéliard,en
94,Q15987,Tuttlingen,en
95,Q7294,Johannes Brahms,en
96,Q11629,art of painting,en
97,Q697902,Kölner Haie,en
98,Q6746,Citroën,en
99,Q2509,April 3,en
100,Q160653,listeriosis,en
101,Q162284,Battle of Kiev (1941),en
102,Q19458,Burnley F.C.,en
103,Q65059,Hermann Josef Abs,en
104,Q204920,Crown of Aragon,en
105,Q205764,endometriosis,en
106,Q2496,Ludwig Erhard,en
107,Q179658,FCSB,en
108,Q12418,Mona Lisa,en
109,Q1018016,Ljubuški,en
110,Q68646,Berlin U-Bahn,en
111,Q2868,Lima,en
112,Q36510,Modern Greek,en
113,Q372103,electronic body music,en
114,Q154590,Golden Bear,en
115,Q131402,Munich Airport,en
116,Q6235,nationalism,en
117,Q39671,Stonehenge,en
118,Q57430,Carl Friedrich Goerdeler,en
119,Q313362,Alexandre Desplat,en
120,Q170924,interest,en
121,Q60661815,digital media use and mental health,en
122,Q41876,Reims,en
123,Q1509,Tennessee,en
124,Q23407,philosophy of mind,en
125,Q8572,Bad Kreuznach,en
126,Q109712556,Scholz cabinet,en
127,Q315463,Dresdner Eislöwen,en
128,Q753,copper,en
129,Q48256,Dnipro,en
130,Q85795487,RNA vaccine,en
131,Q36422,Neolithic,en
132,Q700664,arrondissement of Bernay,en
133,Q251276,Roman Catholic Diocese of Speyer,en
134,Q183471,Claude Jade,en
135,Q8007,Franklin Delano Roosevelt,en
136,Q18085497,Argentina at the 2016 Summer Olympics,en
137,Q42614,Deuteronomy,en
138,Q962,Benin,en
139,Q2484,1979,en
140,Q319,Jupiter,en
141,Q193661,Stan Wawrinka,en
142,Q1426,Roger Federer,en
143,Q41415,soup,en
144,Q6214,Recklinghausen,en
145,Q498211,Heinrich Zille,en
146,Q6234,Herford,en
147,Q82464,The Picture of Dorian Gray,en
148,Q10588869,Moore,en
149,Q49768,Social Democratic Party of Germany,en
150,Q657993,Yemenite Jews,en
151,Q79854,Communist Party of the Soviet Union,en
152,Q14579,Linux kernel,en
153,Q43238,Poaceae,en
154,Q35997,İzmir,en
155,Q4077,Görlitz,en
156,Q1011,Cape Verde,en
157,Q152207,Nürburgring,en
158,Q1909343,dermatophytosis,en
159,Q2992,November 6,en
160,Q12211810,AWD,en
161,Q30126418,2018–19 UEFA Europa League,en
162,Q6873,1713,en
163,Q811,Nicaragua,en
164,Q2954,October 25,en
165,Q1107,anime,en
166,Q57277,Gottfried Benn,en
167,Q169566,H. P. Lovecraft,en
168,Q115076,Deutscher Fernsehfunk,en
169,Q16305538,subtropics,en
170,Q25287,Gothenburg,en
171,Q1413,Nero,en
172,Q57755,Matthias Erzberger,en
173,Q144682,Gentiana,en
174,Q163323,Roman legion,en
175,Q2369,December 12,en
176,Q790,Haiti,en
177,Q2706,Bremerhaven,en
178,Q651706,Communes of the Oise department,en
179,Q651450,1997 World Championships in Athletics,en
180,Q229,Cyprus,en
181,Q2483,1978,en
182,Q775664,list of Egyptian pyramids,en
183,Q494747,Guben,en
184,Q267791,Ried im Innkreis,en
185,Q151128,history of Iceland,en
186,Q278221,Berchtesgaden,en
187,Q10921,Olsberg,en
188,Q896837,C.H. Beck,en
189,Q6161,1507,en
190,Q10876,bacteria,en
191,Q627531,history of Asia,en
192,Q9310,Dili,en
193,Q8676,American Civil War,en
194,Q206898,Liberation theology,en
195,Q2009,Yukon,en
196,Q249428,Grand Duchy of Berg,en
197,Q6939,21st century,en
198,Q156654,Polish Corridor,en
199,Q749387,paratrooper,en
200,Q1063608,history of Wales,en
201,Q25327,Coccinellidae,en
202,Q156898,Alma Mahler,en
203,Q183140,ozone depletion,en
204,Q623385,1998 European Athletics Championships,en
205,Q201788,historian,en
206,Q213535,Jiří Antonín Benda,en
207,Q2526,April 22,en
208,Q6424,Werra,en
209,Q6199,anarchism,en
210,Q3896,Goslar,en
211,Q51976,SV Werder Bremen,en
212,Q186363,Gothic Revival,en
213,Q34726,Greek mythology,en
214,Q133051,Titanosauria,en
215,Q349,sport,en
216,Q188385,Gertrude Stein,en
217,Q28864586,2017 Teen Choice Awards,en
218,Q2413,December 17,en
219,Q18740965,2016–17 UEFA Europa League,en
220,Q829623,1940 in film,en
221,Q2649,1966,en
222,Q157069,Campanula,en
223,Q573106,Deutschlandsberg,en
224,Q15731600,2018 IAAF World Indoor Championships,en
225,Q2545,May 2,en
226,Q42908,Hanseatic League,en
227,Q641,Venice,en
